惯用伎俩 guàn yòng jì liǎng
横征苛敛 hèng zhēng kē liǎn
以升量石 yǐ shēng liáng dàn
出将入相 chū jiàng rù xiàng
愁潘病沈 chóu pān bìng shěn
广陵散绝 guǎng líng sǎn jué
道长论短 dào cháng lùn duǎn
晨昏定省 chén hūn dìng xǐng
倒裳索领 dào cháng suǒ lǐng
倒凤颠鸾 dǎo fèng diān luán
广东音乐 guǎng dōng yīn yuè
昼短夜长 zhòu duǎn yè cháng
重裀列鼎 chóng yīn liè dǐng
重熙累盛 chóng xī lěi shèng
五言长城 wǔ yán cháng chéng
化零为整 huà líng wéi zhěng
春秋三传 chūn qīu sān zhuàn
问长问短 wèn cháng wèn duǎn
昏定晨省 hūn dìng chén xǐng
倒箧倾筐 dǎo qiè qīng kuāng
重山复水 chóng shān fù shuǐ
唯唯连声 wěi wěi lián shēng
日月重光 rì yuè chóng guāng
重山复岭 chóng shān fù lǐng
登台拜将 dēng tái bài jiàng
刀耕火种 dāo gēng huǒ zhòng
黄发垂髫 huáng fà chuí tiáo
登坛拜将 dēng tán bài jiàng
揣合逢迎 chuǎi hé féng yíng
管弦乐团 guǎn xián yuè tuán
更型换代 gēng xíng huàn dài
产前检查 chǎn qián jiǎn chá
从长计较 cóng cháng jì jiào
攒零合整 cuán líng hé zhěng
朝鲜太宗 cháo xiǎn tài zōng
寸长尺短 cùn cháng chǐ duǎn
公共财产 gōng gòng cái chǎn
望洋兴叹 wàng yáng xīng tàn
生意兴隆 shēng yì xīng lóng
村生泊长 cūn shēng bó cháng
海水难量 hǎi shuǐ nán liáng
望子成龙 wàng zǐ chéng lóng
月亮女神 yuè liang nǔ: shén
率兽食人 shuài shòu shí rén
过分强调 guò fèn qiáng diào
椎天抢地 chuí tiān qiǎng dì
穿红着绿 chuān hóng zhuó lǜ
代为说项 dài wéi shuō xiàng
黑白相间 hēi bái xiāng jiàn
佹形僪状 guǐ xíng yù zhuàng
床头金尽 chuáng tóu jīn jìn
更高性能 gēng gāo xìng néng
旦种暮成 dàn zhòng mù chéng
淡妆轻抹 dàn zhuāng qīng mò
横行天下 héng xíng tiān xià
两样东西 liǎng yàng dōng xi
传为笑谈 chuán wéi xiào tán
更深人静 gēng shēn rén jìng
川渟岳峙 chuān tīng yuè zhì
传授知识 chuán shòu zhī shi
拱手而降 gǒng shòu ér xiáng
危机重重 wēi jī chóng chóng
鉴影度形 jiàn yǐng duó xíng
简切了当 jiǎn qiè liǎo dàng
忘啜废枕 wàng chuò fèi zhěn
成都平原 chéng dū píng yuán
万象更新 wàn xiàng gēng xīn
万里长征 wàn lǐ cháng zhēng
成败兴废 chéng bài xīng fèi
详星拜斗 xiáng xīng bài dǒu
改姓更名 gǎi xìng gēng míng
应付账款 yìng fù zhàng kuǎn
撩是生非 liáo shì shēng fēi
简截了当 jiǎn jié liǎo dàng
掸邦高原 shàn bāng gāo yuán
超超玄著 chāo chāo xuán zhù
见雀张罗 jiàn què zhāng luó
干劲冲天 gān jìn chōng tiān
雕肝琢肾 diāo gān zhuó shèn
小时了了 xiǎo shí liǎo liǎo
应天顺民 yìng tiān shùn mín
雕章琢句 diāo zhāng zhuó jù
应天顺人 yìng tiān shùn rén
间见层出 jiàn xiàn céng chū
升斗小民 shēng dǒu xiǎo mín
应用程序 yìng yòng chéng xù
正义斗争 zhèng yì dòu zhēng
见性成佛 jiàn xìng chéng fó
长远目标 cháng yuǎn mù biāo
应用卫星 yìng yòng wèi xīng
顶天踵地 dǐng tiān zhǒng dì
王贡弹冠 wáng gòng dàn guàn
